omega	$N=6040$
5.134150380920834977e-02	3.037839043728602206e+01
5.150712156343160292e-02	3.051426596728256158e+01
5.167273931765485606e-02	3.065881878876109567e+01
5.183835707187810921e-02	3.081222042893063318e+01
5.200397482610136235e-02	3.097465241971388039e+01
5.216959258032461549e-02	3.114630669648735761e+01
5.233521033454786170e-02	3.132738602207567169e+01
5.250082808877111484e-02	3.151810443749032231e+01
5.266644584299436799e-02	3.171868774103984023e+01
5.283206359721762113e-02	3.192937399753500927e+01
5.299768135144087428e-02	3.215041407946132779e+01
5.316329910566412742e-02	3.238207224211111424e+01
5.332891685988738056e-02	3.262462673483333475e+01
5.349453461411063371e-02	3.287837045070784114e+01
5.366015236833388685e-02	3.314361161714111148e+01
5.382577012255714000e-02	3.342067453004873556e+01
5.399138787678039314e-02	3.370990033451894874e+01
5.415700563100364628e-02	3.401164785504661126e+01
5.432262338522689943e-02	3.432629447869829420e+01
5.448824113945015257e-02	3.465423709479061642e+01
5.465385889367340572e-02	3.499589309498971090e+01
5.481947664789665886e-02	3.535170143800223030e+01
5.498509440211991200e-02	3.572212378340238104e+01
5.515071215634315821e-02	3.610764569946380931e+01
5.531632991056641135e-02	3.650877795028740991e+01
5.548194766478966450e-02	3.692605786792795897e+01
5.564756541901291764e-02	3.736005081569045672e+01
5.581318317323617079e-02	3.781135174927954523e+01
5.597880092745942393e-02	3.828058688304069079e+01
5.614441868168267707e-02	3.876841546911744985e+01
5.631003643590593022e-02	3.927553169804470201e+01
5.647565419012918336e-02	3.980266672997260002e+01
5.664127194435243651e-02	4.035059086654852223e+01
5.680688969857568965e-02	4.092011587431422726e+01
5.697250745279894280e-02	4.151209747143696660e+01
5.713812520702219594e-02	4.212743799062152306e+01
5.730374296124544908e-02	4.276708923218570391e+01
5.746936071546870223e-02	4.343205552253271406e+01
5.763497846969195537e-02	4.412339699461250575e+01
5.780059622391520852e-02	4.484223310847112742e+01
5.796621397813845472e-02	4.558974643165797147e+01
5.813183173236170787e-02	4.636718670104173867e+01
5.829744948658496101e-02	4.717587518964729298e+01
5.846306724080821415e-02	4.801720940428163686e+01
5.862868499503146730e-02	4.889266814221770829e+01
5.879430274925472044e-02	4.980381693784402586e+01
5.895992050347797359e-02	5.075231393322499684e+01
5.912553825770122673e-02	5.173991620978124217e+01
5.929115601192447987e-02	5.276848662197620854e+01
5.945677376614773302e-02	5.384000117793836893e+01
5.962239152037098616e-02	5.495655701645934244e+01
5.978800927459423931e-02	5.612038103478990081e+01
5.995362702881749245e-02	5.733383922723248105e+01
6.011924478304074559e-02	5.859944680068520029e+01
6.028486253726399874e-02	5.991987914021740380e+01
6.045048029148725188e-02	6.129798370540311936e+01
6.061609804571050503e-02	6.273679294673402751e+01
6.078171579993375123e-02	6.423953834103116378e+01
6.094733355415700438e-02	6.580966565545683977e+01
6.111295130838025752e-02	6.745085156178828356e+01
6.127856906260351066e-02	6.916702173604136306e+01
6.144418681682676381e-02	7.096237059366080757e+01
6.160980457105001695e-02	7.284138282750500082e+01
6.177542232527327010e-02	7.480885693491249810e+01
6.194104007949652324e-02	7.686993094174795260e+01
6.210665783371977638e-02	7.903011055554517839e+01
6.227227558794302953e-02	8.129530000733770123e+01
6.243789334216628267e-02	8.367183587279389201e+01
6.260351109638953582e-02	8.616652419837734556e+01
6.276912885061278202e-02	8.878668129811271115e+01
6.293474660483604211e-02	9.154017863175855041e+01
6.310036435905928831e-02	9.443549222661437170e+01
6.326598211328254839e-02	9.748175716375783395e+01
